Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti     Fe    Sr     Rh
SRM_1831_300s_20x20det_1_17_17 10087 11530 15477 1676577  9690 45150 1859827 6618 119549 36474 128780
SRM_1831_300s_20x20det_1_17_18  9850 11333 15396 1675981  9409 45011 1860880 6722 119085 36860 128709
SRM_1831_300s_20x20det_1_17_19 10253 11144 15332 1677505  9923 44821 1859845 7040 119127 36572 128061
SRM_1831_300s_20x20det_1_17_2  10144 11249 15149 1678231  9600 45229 1863242 6514 120127 36846 128064
SRM_1831_300s_20x20det_1_17_3  10073 11287 15390 1680488  9790 44918 1864643 6669 119441 36960 128412
SRM_1831_300s_20x20det_1_17_4  10057 11052 15326 1671139  9347 44944 1856612 6728 118862 36045 128221
SRM_1831_300s_20x20det_1_17_5   9971 11055 15366 1678467 10020 45070 1866338 6254 120058 36535 128401
SRM_1831_300s_20x20det_1_17_6  10173 11233 15395 1678496  9808 45355 1861394 6385 119392 36629 128653
SRM_1831_300s_20x20det_1_17_7   9845 11135 15158 1676735  9678 45623 1859441 6514 120059 36052 128893
SRM_1831_300s_20x20det_1_17_8  10166 11132 15227 1676691  9565 44964 1858266 6333 119340 36691 130136
SRM_1831_300s_20x20det_1_17_9   9942 11441 15106 1679545 10165 45573 1866468 6634 119634 36811 128804
SRM_1831_300s_20x20det_1_18_0   9935 11021 15813 1676253  9458 44938 1862915 6623 119297 35708 129212
SRM_1831_300s_20x20det_1_18_1  10232 11330 15722 1672112  9968 44867 1859012 6337 119984 36438 128881
SRM_1831_300s_20x20det_1_18_10 10088 11251 15339 1674144  9861 45280 1856621 6691 119466 36826 128674
SRM_1831_300s_20x20det_1_18_11 10233 10990 15567 1675602  9696 45141 1861047 6194 119912 36699 127705
SRM_1831_300s_20x20det_1_18_12 10144 11294 15497 1677716  9818 44945 1856129 6923 119966 37209 128321
SRM_1831_300s_20x20det_1_18_13 10199 11368 15390 1675570  9856 45160 1857663 6526 119146 37487 128009
SRM_1831_300s_20x20det_1_18_14 10020 11118 15370 1674084  9840 44691 1860955 6711 119448 36406 129755
SRM_1831_300s_20x20det_1_18_15 10011 11186 15142 1672367  9877 44966 1855850 6560 119297 36586 128996
SRM_1831_300s_20x20det_1_18_16 10134 11386 15459 1670737  9894 44799 1856650 6557 119110 36520 128469
SRM_1831_300s_20x20det_1_18_17  9960 11363 15119 1674174  9829 44800 1858605 6418 118948 35682 129294
SRM_1831_300s_20x20det_1_18_18  9880 11208 15424 1673184  9821 45253 1859349 6666 119945 36430 128642
SRM_1831_300s_20x20det_1_18_19 10100 11370 15576 1672701  9753 45122 1858448 6664 120008 36904 129116
SRM_1831_300s_20x20det_1_18_2  10050 11268 15548 1676717  9959 45338 1864179 6758 118811 37031 128449
SRM_1831_300s_20x20det_1_18_3  10021 11128 14948 1673231  9464 44844 1856926 6568 119584 37698 127778
SRM_1831_300s_20x20det_1_18_4  10253 11476 15416 1678482  9868 44843 1861052 6119 119568 36764 128834
SRM_1831_300s_20x20det_1_18_5   9989 11264 15170 1671742  9740 44582 1862091 6610 119033 37074 127404
SRM_1831_300s_20x20det_1_18_6  10220 11277 15345 1675743  9441 45094 1857683 6156 119207 36150 128523
SRM_1831_300s_20x20det_1_18_7   9670 10897 15208 1667242  9588 44812 1859409 6258 119454 36852 128318
SRM_1831_300s_20x20det_1_18_8   9916 11145 15387 1676701  9827 45327 1858636 6632 118795 37051 128130
SRM_1831_300s_20x20det_1_18_9  10201 11192 15390 1674782  9879 45072 1859225 6511 118802 36815 128995
