ROI sum

Spectrum                                  Na    Mg    Al      Si     S     K      Ca    Ti     V    Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70  9910 10770 13863 1030432 10613 31647 1037074  9907 11370 91434 59314 80259 55380  95664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71  9889 10687 14002 1027429 10573 31477 1034410  9766 11561 91158 59211 80338 55553  96248
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72  9845 10648 13899 1028886 10492 31384 1035296  9768 11471 90791 59353 80641 55906  95524
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73  9819 10701 13847 1028452 10339 31298 1035042  9891 11406 91359 59796 80205 55043  95664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74  9837 10639 13811 1029291 10423 31483 1035075  9938 11613 90677 59289 80812 55454  95928
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75  9855 10635 14054 1027552 10603 31101 1035889  9767 11459 91221 59411 79997 55742  96102
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76  9892 10587 14092 1028084 10476 31337 1035204  9892 11485 91121 59094 79723 55996  96305
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77  9939 10617 13857 1028166 10672 31584 1034078  9725 11759 91108 59624 79793 55569  95600
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 10007 10878 14077 1026717 10562 31643 1031922  9744 11704 91417 59560 80628 55648  95439
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79  9961 10588 13875 1029822 10376 31227 1034658  9977 11552 91185 59773 80039 55370  95538
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8   9792 10663 13829 1025884 10540 31267 1033642  9928 11577 91023 59915 80269 55581  95886
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80  9963 10469 13752 1028708 10417 31838 1036508 10042 11728 91072 59714 80775 55632  96153
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81  9957 10593 14248 1030923 10334 31385 1038019 10132 11462 90758 59630 80663 55461  96223
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82  9738 10755 13866 1030552 10431 31470 1035162  9883 11493 91046 59265 79992 55898  95927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83  9846 10704 14008 1029114 10488 31222 1034913  9892 11493 91106 60087 80126 55743  96181
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84  9722 10679 14041 1030295 10564 31405 1035651  9901 11410 91570 59414 80633 55607  96386
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 10102 10772 13939 1029255 10459 31366 1034113  9912 11579 91201 59343 80477 56070  95334
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86  9939 10795 13955 1031031 10610 31653 1035187  9885 11582 90956 59338 80510 55483  95727
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87  9881 10829 13894 1028960 10578 31325 1036905  9941 11456 91302 59986 80507 55427  96276
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88  9937 10859 14125 1027576 10531 31028 1036442  9841 11384 91280 59168 80385 55962  95976
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 10069 10642 14243 1031228 10349 31075 1036380  9995 11504 91144 59379 80602 55866  95960
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9   9849 10482 13940 1025910 10507 31035 1034737  9884 11554 90618 58985 80235 55236  96144
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90  9914 10855 14030 1028559 10565 31317 1035183  9878 11538 90682 59617 80281 55826  95802
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91  9968 10698 13951 1027572 10647 31766 1035671  9842 11278 91356 58940 80417 55533  96151
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 10047 10658 14179 1028797 10541 31363 1035500  9635 11424 90469 59459 80236 55669  95814
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 10021 10498 14025 1028732 10652 31211 1034982  9840 11592 90710 59428 80093 55461  95531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94  9766 10654 13957 1028885 10698 31300 1033986  9875 11556 90876 59425 80293 55654  96298
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95  9827 10493 14024 1027754 10330 31656 1034874  9802 11616 90567 59301 80417 55750  95799
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96  9871 10757 13682 1027216 10474 31491 1034559  9927 11329 90970 59071 80196 55674  95679
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97  9859 10881 14056 1029293 10576 31604 1035301  9910 11389 90929 59280 80664 55675  95603
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98  9702 10690 13953 1028302 10464 31482 1033062  9805 11390 90533 59606 80005 55132  95561
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99  9939 10507 13967 1027283 10507 31353 1033321  9869 11367 90470 59945 79776 55786  95486
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  10350 11296 15237 1085189 10891 32804 1093055 10396 12198 95636 61793 82774 58903  99169
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  10369 11021 15016 1080493 11124 33045 1089191 10424 12174 95953 61481 81939 58221  99625
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 10405 11265 15072 1077853 11001 33147 1089887 10467 12065 95345 61505 81996 58544  99523
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 10315 11194 15061 1078829 10984 33595 1088008 10530 12137 95476 61501 81907 58550  99433
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 10357 11067 15302 1078419 10747 33249 1089189 10580 12224 95722 61729 82344 58546  98929
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 10252 11355 15046 1079526 10790 33230 1086873 10514 12301 96119 61774 82184 58166  99030
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 10241 11325 14928 1079823 10958 33017 1087750 10538 12315 95476 62035 82266 58753  98762
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 10617 11109 14987 1080998 10918 33001 1090552 10650 12143 95284 61452 82071 58004  99165
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 10298 11229 14970 1081794 10980 32888 1088287 10400 12372 96224 61643 81675 58474  99264
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 10407 11214 14934 1081630 10887 33241 1089398 10480 12165 95917 61772 82356 58522  99521
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 10225 11212 15003 1080943 10928 33418 1089020 10463 11998 95931 62285 82549 58425  99697
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 10498 11207 14885 1081862 10794 33083 1091862 10483 12104 95323 62050 82525 58208  99631
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  10428 11072 15246 1081099 10888 33451 1089299 10471 12151 96010 62457 82110 58237  99684
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 10384 11275 14994 1080615 10597 33238 1089321 10378 12267 96036 62163 82080 58606  99605
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 10408 11118 15082 1081815 11130 33366 1088766 10478 12244 96155 62360 82250 58675  99608
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 10499 11193 15042 1083236 10887 33196 1089937 10309 12152 96141 62312 82210 58353  99428
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 10429 11293 15257 1082223 10989 33404 1090357 10409 12270 95790 62211 82437 58743  99700
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 10410 11211 15240 1081701 10905 33033 1088865 10502 12250 95756 62171 82235 58637  99746
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 10300 11136 15049 1080912 10791 33053 1091891 10429 12166 95699 62502 82663 58718  99596
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 10467 11061 15184 1080339 10748 33288 1088984 10538 12270 94906 62020 82101 58386  99195
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 10364 11184 14965 1082829 11034 33242 1091442 10580 12215 95840 62404 82723 58398  99518
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 10207 11320 15007 1081675 10730 33410 1090276 10495 12211 95673 62015 82474 58679  99157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 10291 11092 14899 1080046 10922 33189 1090557 10524 12298 95880 62539 83361 58911  99720
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  10356 11209 15388 1080021 10813 33221 1089809 10474 12259 95519 61822 82906 58587  98988
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 10344 11276 14871 1082745 10864 33204 1091603 10567 12372 95678 61600 82685 59006  99463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 10465 11399 15174 1079580 10835 33121 1087278 10364 12265 94773 61546 82709 58537  99107
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 10337 11394 15198 1083830 10947 33386 1091149 10599 12094 95553 62569 82395 58442  99290
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 10265 11134 15179 1082485 10952 33212 1092396 10262 12209 95902 61852 81836 58384  99360
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 10558 11267 15183 1082294 10908 33522 1089982 10585 12313 96101 62207 82886 58738 100452
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 10391 11369 14972 1080163 10949 33350 1090227 10389 12134 95858 62224 82032 58481  98942
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 10570 11250 14992 1081504 10932 33275 1090322 10519 12123 95846 61751 82544 58071  99010
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 10373 11230 15057 1080002 10871 33210 1092524 10521 12138 95990 61923 82532 58634  99209
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 10398 11253 14865 1082379 10971 33258 1092188 10405 12407 95629 61865 82303 58426  99979
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 10359 11272 14768 1079608 10859 33052 1089246 10460 12302 95911 61712 82270 58568  99747
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  10348 11254 15213 1081533 10892 33492 1092178 10498 12175 96416 62068 82730 59216  99548
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 10408 11320 15004 1081734 10891 33154 1090835 10402 12153 96237 62203 82282 58561 100242
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 10459 11410 15044 1080650 10948 33569 1089403 10834 12369 95741 61648 82208 58741  99941
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 10217 11336 14919 1081013 10964 33398 1090170 10473 12320 95390 61907 82135 58491  99072
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 10267 11136 15063 1081324 10896 33386 1088892 10334 12133 95464 61718 82344 58015  99618
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 10286 11167 14993 1077716 10968 33352 1088667 10532 12262 95655 61648 82390 58242  98838
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 10346 11057 14910 1081614 11065 33203 1090264 10612 12319 95498 62023 82203 58326  99595
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 10352 11294 15196 1081755 11017 33400 1090776 10425 12176 95712 61662 82258 59084 100081
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 10325 11088 14871 1081624 10969 32958 1090328 10419 12054 95218 62086 82040 58458  99781
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 10454 11241 15152 1081241 10833 33444 1090181 10461 12225 95642 61606 82278 58643  99657
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 10377 11259 15040 1081403 10849 32938 1092091 10706 12296 96072 62061 83123 58770  99385
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  10486 11308 15136 1083237 10977 33397 1093228 10446 12390 95888 62419 82705 58855  99360
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 10195 11154 14944 1081327 11003 33168 1090733 10622 12149 95384 61992 82403 58506  99671
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 10405 11142 15011 1082513 11023 33070 1090216 10549 12368 95748 61473 82771 58211  99786
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 10323 11201 15124 1081846 11010 33400 1091607 10617 12424 96131 61814 82119 58497  99367
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 10344 11176 15221 1078726 10823 33294 1089477 10581 12383 96152 61523 82002 58878  98555
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 10334 11227 15184 1080129 11138 33510 1090484 10429 12375 95862 61972 82456 58431  99570
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 10547 11386 15268 1082065 11019 33255 1090107 10643 12056 95938 62330 82417 58403  99482
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 10311 11327 14972 1082027 10908 33622 1090120 10395 12128 95644 61454 82191 58151  99659
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 10487 11214 15045 1083401 10885 33170 1092266 10740 12347 95233 62249 82651 58183  99359
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 10530 11270 14852 1082999 10939 33504 1091812 10486 12297 96224 61730 82228 58616  99341
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 10528 11223 15078 1082740 11094 33504 1092081 10579 12322 95730 62015 82383 58041  99990
