Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 17.38 4.39 1.00 65.05 0.19 0.51 11.35 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 17.63 4.40 1.01 64.85 0.19 0.51 11.29 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 17.61 4.25 1.01 64.98 0.19 0.50 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 17.72 4.21 0.99 64.93 0.20 0.49 11.31 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 17.28 4.32 0.98 65.22 0.19 0.50 11.38 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 17.50 4.22 1.03 65.08 0.19 0.50 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 17.51 4.39 0.95 64.99 0.19 0.51 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 17.47 4.41 0.99 64.98 0.19 0.51 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 17.30 4.36 1.00 65.16 0.19 0.50 11.35 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 17.83 4.19 0.99 64.89 0.19 0.50 11.29 0.02 0.10 0.01 0.00
------------------------------------------------------------------------------------------------
Mean value:                            17.57 4.33 0.99 64.97 0.19 0.50 11.32 0.02 0.10 0.01 0.00
Std. Abw.:                              0.27 0.09 0.02  0.21 0.00 0.01  0.08 0.00 0.00 0.00 0.00
Std. Abw. rel. [%]:                     1.52 1.98 2.48  0.33 2.13 1.04  0.67 3.20 0.92 1.95 0.00
Conf. interval:                         0.03 0.01 0.00  0.02 0.00 0.00  0.01 0.00 0.00 0.00 0.00
