ROI net sum

Spectrum                                    Si      Ca    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 1081124 1086547 72157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 1079810 1085941 71723
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 1080641 1086968 72339
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 1081066 1087571 71655
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 1079214 1085727 71922
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  1075279 1082331 72075
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 1079740 1086501 73220
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 1081302 1085756 72061
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 1080518 1084674 71769
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 1073560 1081254 71597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 1080651 1085686 71923
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 1079974 1085464 71980
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 1079651 1086571 71900
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 1077469 1087719 71783
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 1078593 1083282 72111
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 1077634 1084248 71767


Mean value:                            1052619 1058409 70760
Std. Abw.:                               26607   27458  1350
Std. Abw. rel. [%]:                       2.53    2.59  1.91
Conf. interval:                           1881    1942    95
