Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 17.63 4.90 1.73 63.91 0.20 0.53 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 17.62 4.91 1.70 63.93 0.19 0.52 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 17.51 4.85 1.73 64.02 0.20 0.53 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 17.74 4.87 1.77 63.78 0.20 0.52 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 17.77 4.85 1.76 63.80 0.19 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 17.90 4.85 1.72 63.73 0.20 0.53 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 18.01 5.02 1.75 63.52 0.19 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 17.85 4.81 1.71 63.83 0.19 0.52 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  17.56 4.92 1.73 63.92 0.20 0.52 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 18.12 4.82 1.70 63.59 0.19 0.53 10.92 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 17.88 4.78 1.75 63.78 0.19 0.53 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 17.79 5.01 1.73 63.72 0.19 0.53 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 17.67 4.95 1.75 63.82 0.19 0.52 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 17.45 4.94 1.76 63.99 0.20 0.53 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 18.03 4.93 1.73 63.60 0.19 0.52 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 17.82 4.90 1.70 63.80 0.20 0.53 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 17.75 5.04 1.72 63.70 0.20 0.52 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 17.93 5.05 1.77 63.53 0.20 0.51 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 18.08 4.88 1.77 63.57 0.19 0.51 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  17.83 4.85 1.74 63.76 0.20 0.52 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 17.71 4.96 1.73 63.78 0.20 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 17.78 4.89 1.75 63.76 0.20 0.54 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 17.83 4.78 1.75 63.81 0.20 0.53 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 17.87 4.76 1.74 63.80 0.20 0.52 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 17.49 4.90 1.73 64.01 0.20 0.53 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 17.79 4.78 1.75 63.85 0.19 0.53 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 17.75 4.99 1.69 63.76 0.19 0.53 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 17.79 5.05 1.75 63.65 0.20 0.53 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 17.47 4.93 1.76 63.99 0.20 0.53 11.00 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 18.06 4.79 1.75 63.64 0.19 0.52 10.91 0.02 0.09 0.01 0.00
------------------------------------------------------------------------------------------------
Mean value:                            17.81 4.91 1.74 63.75 0.20 0.53 10.95 0.02 0.09 0.01 0.00
Std. Abw.:                              0.25 0.08 0.02  0.20 0.00 0.00  0.07 0.00 0.00 0.00 0.00
Std. Abw. rel. [%]:                     1.41 1.60 1.23  0.31 2.27 0.93  0.61 3.25 0.88 1.82 0.00
Conf. interval:                         0.03 0.01 0.00  0.02 0.00 0.00  0.01 0.00 0.00 0.00 0.00
