Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 14.24 4.14 1.71 63.12 0.21 0.75 15.59 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 14.37 4.16 1.65 63.03 0.22 0.75 15.57 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 13.88 4.01 1.67 63.41 0.21 0.75 15.79 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 14.13 4.04 1.69 63.25 0.21 0.76 15.66 0.03 0.19 0.04 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 14.10 4.22 1.71 63.18 0.22 0.75 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 14.42 4.15 1.65 63.01 0.22 0.75 15.56 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 13.91 4.14 1.73 63.31 0.22 0.75 15.69 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 14.14 4.08 1.64 63.27 0.21 0.75 15.65 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 14.18 4.14 1.69 63.14 0.21 0.76 15.62 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 14.03 4.12 1.64 63.30 0.21 0.75 15.70 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  14.18 4.24 1.70 63.12 0.21 0.75 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 14.25 4.09 1.65 63.20 0.21 0.75 15.59 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 14.31 4.11 1.69 63.10 0.21 0.75 15.57 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 14.37 4.16 1.71 63.01 0.21 0.75 15.53 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 14.87 4.16 1.69 62.72 0.21 0.74 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 14.18 4.26 1.70 63.11 0.21 0.75 15.53 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 14.40 4.10 1.68 63.06 0.21 0.75 15.55 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 14.17 4.15 1.71 63.18 0.21 0.74 15.59 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 14.20 4.14 1.69 63.12 0.21 0.76 15.63 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 14.07 4.11 1.68 63.22 0.21 0.75 15.69 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 14.21 4.05 1.68 63.21 0.22 0.76 15.62 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  14.06 4.06 1.67 63.31 0.20 0.76 15.68 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 14.19 4.26 1.69 63.11 0.21 0.74 15.55 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 13.94 4.07 1.73 63.36 0.21 0.75 15.69 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 13.86 4.18 1.67 63.34 0.22 0.75 15.72 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 14.21 4.16 1.68 63.13 0.20 0.76 15.61 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 14.16 4.21 1.68 63.15 0.22 0.75 15.58 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 14.37 4.12 1.69 63.07 0.21 0.75 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 14.05 4.07 1.70 63.29 0.21 0.75 15.67 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 14.03 4.13 1.70 63.27 0.21 0.75 15.65 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 14.11 4.09 1.68 63.24 0.22 0.76 15.65 0.03 0.19 0.04 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 14.39 4.12 1.65 63.07 0.22 0.76 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  14.18 4.14 1.71 63.15 0.22 0.75 15.60 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 14.03 4.13 1.68 63.27 0.21 0.75 15.66 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 14.47 4.08 1.70 63.03 0.21 0.75 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 14.00 4.20 1.72 63.26 0.21 0.75 15.61 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 14.30 4.16 1.67 63.09 0.21 0.75 15.57 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 14.42 4.06 1.67 63.10 0.20 0.75 15.55 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 13.84 4.14 1.68 63.40 0.21 0.76 15.72 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 14.28 4.18 1.70 63.07 0.21 0.75 15.56 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 14.16 4.10 1.68 63.16 0.21 0.76 15.68 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 14.24 4.12 1.62 63.20 0.21 0.74 15.61 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 14.22 4.14 1.72 63.11 0.22 0.75 15.58 0.03 0.18 0.03 0.00
------------------------------------------------------------------------------------------------
Mean value:                            14.17 4.14 1.69 63.18 0.21 0.75 15.61 0.03 0.19 0.03 0.00
Std. Abw.:                              0.18 0.05 0.02  0.12 0.01 0.01  0.07 0.00 0.00 0.00 0.00
Std. Abw. rel. [%]:                     1.25 1.23 1.40  0.19 2.40 0.75  0.45 3.50 0.79 1.72 0.00
Conf. interval:                         0.02 0.01 0.00  0.01 0.00 0.00  0.01 0.00 0.00 0.00 0.00
