Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  13.96 3.73 0.96 64.20 0.21 0.69 16.00 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 14.14 3.70 0.90 64.14 0.22 0.69 15.95 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 14.25 3.75 0.93 64.00 0.22 0.69 15.90 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 14.07 3.71 0.93 64.17 0.22 0.69 15.95 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 13.95 3.69 0.93 64.25 0.21 0.68 16.03 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 14.05 3.67 0.91 64.21 0.21 0.68 16.00 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 14.18 3.65 0.95 64.07 0.22 0.68 15.98 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 14.15 3.60 0.93 64.15 0.21 0.70 15.99 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 14.29 3.71 0.93 64.02 0.22 0.69 15.88 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 14.40 3.87 0.97 63.84 0.21 0.68 15.76 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 14.18 3.64 0.94 64.14 0.21 0.68 15.94 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  13.89 3.66 0.93 64.29 0.22 0.68 16.07 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 14.41 3.58 0.90 64.00 0.21 0.70 15.93 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 14.21 3.61 0.97 64.10 0.21 0.69 15.95 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 14.11 3.73 0.90 64.16 0.21 0.69 15.93 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 14.08 3.71 0.95 64.14 0.22 0.68 15.96 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 13.88 3.77 0.97 64.23 0.22 0.68 15.98 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 14.39 3.80 0.95 63.92 0.21 0.68 15.79 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 14.21 3.73 0.91 64.09 0.22 0.69 15.89 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 14.05 3.78 0.92 64.12 0.22 0.68 15.96 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 14.16 3.82 0.96 64.00 0.22 0.67 15.91 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 14.45 3.63 0.96 63.97 0.21 0.68 15.85 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  14.19 3.59 0.92 64.13 0.21 0.68 16.01 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 14.03 3.74 0.95 64.13 0.22 0.69 15.97 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 14.24 3.75 0.96 63.98 0.22 0.70 15.89 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 14.22 3.63 0.96 64.09 0.22 0.69 15.94 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 14.31 3.60 0.94 64.06 0.22 0.68 15.93 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 13.94 3.68 0.93 64.28 0.22 0.68 16.00 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 14.12 3.60 0.97 64.16 0.21 0.69 15.98 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 14.14 3.75 0.90 64.09 0.21 0.70 15.95 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 14.11 3.76 0.94 64.09 0.22 0.69 15.93 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 13.96 3.72 0.95 64.24 0.21 0.69 15.97 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 14.40 3.58 0.94 64.03 0.21 0.68 15.90 0.03 0.19 0.03 0.00
------------------------------------------------------------------------------------------------
Mean value:                            14.19 3.69 0.94 64.08 0.21 0.69 15.94 0.03 0.19 0.03 0.00
Std. Abw.:                              0.23 0.07 0.02  0.16 0.00 0.01  0.09 0.00 0.00 0.00 0.00
Std. Abw. rel. [%]:                     1.60 2.01 2.49  0.24 2.12 0.99  0.58 3.20 0.86 1.92 0.00
Conf. interval:                         0.02 0.01 0.00  0.02 0.00 0.00  0.01 0.00 0.00 0.00 0.00
