Net counts

Spectrum                                 Na   Mg    Al      Si    S    Cl      K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr   Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 6773 8054 11225 1188834 6707  1063 169530 1330248 4839   413  1560 86211   825 10616 5347 25199 8698 89120     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 7073 7876 11238 1189691 6478  1100 167823 1332889 4907   219  1458 86082  1377  9816 4580 24697 7166 89557     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 6871 8048 11322 1190663 6778  1262 172853 1330707 4770   768  1852 87517  1129  9812 5338 24665 8117 89526     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 7014 8053 11338 1189318 6574  1100 165861 1332397 4791   250  1740 86709  1332 10150 5292 25166 7989 89194     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 6825 8037 11312 1188772 6788  1010 168893 1331385 4744   228  2093 87375  2016 10895 5190 25245 7740 89896     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 6987 7918 11056 1189800 6452  1179 167256 1335032 4715   191  1517 85948  1316 10594 4791 24742 7092 89873     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  6996 7856 11511 1190183 6635  1255 172277 1330692 4477   204  1659 87284  1641 11025 4701 24739 7588 89427     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 6977 8098 11273 1188734 6140  1235 170548 1331425 4531   569  1788 86990  1263 10553 5007 24708 8026 89843     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 7040 7943 11400 1190058 6896  1197 171531 1330662 4688   422  1816 87863  1477 10747 5720 25101 8049 90013     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 7066 7947 11325 1192522 6666  1346 168735 1332564 4442   295  1810 86925  1745 10812 4271 25135 7711 89048     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 6994 8068 11467 1190915 6580  1183 173158 1333313 4649   406  1638 87168  2064 10694 4957 25099 7952 89597     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 7044 8084 11474 1190035 6586  1272 175626 1331362 4607   195  1610 86509  1610 10840 5364 25266 8208 89949     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 6899 7940 11371 1189043 6401  1163 170781 1333710 4684   261  1912 87242  1805 11603 4977 25377 8078 89229     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 7116 7967 11742 1189002 6312  1250 171050 1331718 4653   403  1363 86042  1426 10676 5405 25445 7961 89189     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 6989 7952 11322 1191090 6947  1223 167464 1332844 4656   269  1953 87236  1287 10908 5119 25494 8019 89913     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 6805 8096 11330 1189603 6370  1091 173497 1332601 4545   252  1794 87164  1497 10629 5239 25145 8196 88861     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 6992 7890 11341 1187967 6527  1142 170338 1332187 4895   423  1501 86569  2042 11437 4952 26349 7968 90393     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  6984 8016 11752 1188014 6519  1574 170599 1332347 4748   375  1353 86456  2067 10436 4995 25884 7848 88694     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 6845 8016 11190 1190735 6538  1489 175539 1334709 4721   388  1878 87331  1803 10260 5435 25417 8707 89448     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 7007 8106 11346 1187592 6507   957 164836 1328579 4561   344  1654 85739  1815 10545 4934 25693 7979 89337     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 6867 8214 11516 1191784 6799  1443 171616 1333859 4665   123  1709 86861  1871 11653 5618 25013 8226 89400     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 6835 7923 11578 1191406 6607  1249 164471 1334772 4289   249  1913 87585   497 10289 5097 24492 7934 89696     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 7216 8154 11454 1191048 6618  1520 170954 1332690 4629   385  1712 87868  1629 10601 4940 26033 7525 90646     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 7052 8085 11208 1188155 6567  1183 168007 1332797 4728   349  1733 86839   967 10747 4984 24696 7939 88179     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 7171 8027 11203 1189631 6640  1036 166177 1333392 4759   175  1617 86817  1414 10384 4702 25370 7270 89670     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 7031 8073 11428 1189005 6405  1195 168282 1335649 4741   350  1532 87259  1725 10837 5392 25344 7899 89131     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 6981 8029 11189 1190851 6708  1321 172565 1335581 4533   508  1540 87192  1261 10455 5372 25263 7749 89949     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 6902 8040 11121 1188071 6527  1232 170411 1331452 4617   409  2037 87334  1033 10064 5079 25133 8421 89415     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  6961 8067 11532 1190125 6634  1261 174616 1335714 4762   352  1956 87774  1468 10686 4979 25596 8379 89612     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 6848 8055 11248 1190084 6603  1236 170818 1334244 4670   297  1797 87045  1535 10880 4217 24765 7511 90255     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 6974 8133 11173 1189184 6534   866 168228 1331781 5074   428  1393 86662   956 10138 4373 24993 7716 90340     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 6941 8218 11355 1188669 6720  1510 173572 1333169 4777   554  1862 86856  1525 10275 4622 24978 8148 89188     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 6949 8128 11348 1190322 6658  1462 169872 1332466 4560   249  1818 86858  1737 10538 5061 25111 7468 89841     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 6919 8050 11438 1185693 6630  1252 168401 1330572 4704   452  1579 86810  1515 10313 4376 25165 7523 88992     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 7022 7987 11283 1190909 6748  1732 170287 1332326 4761   302  1471 86401  1137 10466 5143 24597 7617 89586     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 6902 8052 11464 1190323 6719  1101 168284 1333324 4662   206  1701 86377  1704 10276 4744 25179 8415 90211     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 6806 7744 11028 1189644 6707  1110 169327 1332115 4567   320  1633 86522  1382 10678 5379 24887 7975 89657     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 7058 8031 11507 1189178 6643  1238 169739 1332271 4636   351  1461 86512   747 10614 5149 25294 8201 89914     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 6824 8043 11235 1189870 6576  1103 170749 1334434 4919   443  1332 86765  1284 10272 5571 25862 8461 89772     0
