ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61  9860 10833 13906 1027089 10382 22937 31780 1037726  9962 11506 21003 91279 38990 59120 69820 80628 55494  95907  9539
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62  9803 10557 13937 1027700 10586 23040 31626 1036508  9919 11550 20757 91229 38676 59691 69147 80263 55978  95933  9472
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63  9916 10761 13932 1029525 10413 23003 31380 1034559  9831 11391 20753 91200 38647 59954 70107 80330 55767  95764  9494
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 10078 10632 14123 1029747 10631 23033 31462 1036971  9899 11583 20649 91287 38821 59477 70132 80045 55954  95999  9396
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 10055 10684 14030 1028793 10424 23114 31179 1035726 10091 11323 20904 91410 38675 59967 69810 80620 55882  95451  9530
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66  9879 10744 14171 1028819 10398 23036 31530 1035032  9953 11469 20729 91584 38569 60085 69727 80576 55805  96005  9550
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67  9962 10570 13828 1028596 10530 23089 31349 1036645  9884 11602 20735 91144 38662 59134 69906 80210 55436  95277  9545
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68  9894 10771 14270 1029495 10579 23127 31622 1036114  9914 11663 20978 91238 38791 59352 69701 79985 55395  95881  9661
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69  9973 10593 14021 1028376 10567 22842 31350 1035068  9845 11369 20920 90755 38892 59285 69779 80703 55262  95832  9549
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7   9714 10651 14020 1027185 10365 22857 31597 1035560  9778 11368 20517 90778 38880 59435 69476 80141 55871  95945  9642
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70  9910 10770 13863 1030432 10613 23298 31647 1037074  9907 11370 20497 91434 38715 59314 69883 80259 55380  95664  9681
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71  9889 10687 14002 1027429 10573 22888 31477 1034410  9766 11561 20467 91158 38568 59211 69698 80338 55553  96248  9763
