Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 6138 6286 5551 1110764 6001 27322 1234051 4188 81121 22477 78765
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 6059 6253 5509 1110238 5733 27140 1235924 4232 81969 21955 79236
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 6111 6220 5444 1110341 5892 27135 1235312 4308 81003 22369 78927
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 6183 6187 5678 1108097 6175 27243 1236858 4109 81197 21510 79202
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 6160 6097 5539 1109914 5904 27712 1236067 4505 82099 21488 80387
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 6255 6293 5556 1109445 6169 27469 1233604 4170 81485 21182 78789
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 6347 6597 5808 1108029 5950 27323 1231437 4268 81802 22322 78830
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 6194 6178 5578 1111476 5908 27130 1235429 4524 81770 21211 79182
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  6007 6183 5530 1107623 6012 26969 1234195 4512 80842 21441 79677
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 6307 6068 5361 1110460 5949 28115 1237555 4487 81141 22365 79994
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 6223 6128 5822 1113005 5788 27471 1239064 4547 81250 21953 79522
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 6167 6330 5395 1112331 5789 27657 1234516 4206 81102 21698 80322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 6142 6295 5635 1109883 5970 27150 1235023 4384 81447 21308 79855
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 6048 6409 5756 1111360 6052 27230 1235194 4394 81849 22372 79972
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 6335 6474 5673 1110265 5849 27261 1233509 4537 81356 22018 78947
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 6224 6344 5446 1112172 6043 27590 1234164 4285 80927 22087 78517
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 6133 6432 5499 1110619 6157 27161 1236892 4339 81077 21436 80173
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 6205 6499 5739 1109357 6065 26865 1237399 4313 81761 22212 79939
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 6358 6169 5720 1112159 5771 27180 1237106 4324 81474 22181 80076
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  6167 6054 5462 1107234 5914 27026 1235409 4341 80946 22008 80392
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 6122 6358 5672 1110576 6059 27637 1236479 4358 80866 21777 79592
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 6242 6383 5725 1109993 6069 27963 1236308 4150 81936 22031 79992
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 6214 6151 5731 1110603 5998 27364 1236339 4007 80526 21843 79674
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 6256 6090 5599 1109799 6230 27090 1235426 4496 80783 21573 79038
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 6056 6242 5539 1110488 6033 27121 1232852 4511 80975 21472 79544
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 6147 6092 5783 1108923 5908 27537 1233783 4226 80760 21905 79443
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 6170 6358 5375 1109549 5843 27810 1235341 4205 81072 22140 79619
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 6168 6396 5585 1110758 6091 27683 1235430 4281 81239 22610 79368
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 6076 6303 5648 1110507 5914 27490 1232774 4201 80801 21723 78899
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 6295 6053 5581 1108508 5853 27303 1233070 4300 81119 21482 79015
-------------------------------------------------------------------------------------------------------
Mean value:                            6200 6264 5601 1109845 5956 27414 1235658 4325 81332 21830 79527
Std. Abw.:                              133  137  144    1641  124   249    1605  139   413   398   499
Std. Abw. rel. [%]:                    2.14 2.18 2.58    0.15 2.09  0.91    0.13 3.21  0.51  1.82  0.63
Conf. interval:                          13   14   14     164   12    25     161   14    41    40    50
