ROI net sum

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 8831 9248 12883 1077610 8116 29257 1085326 4072 69418 23365 71887
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 8751 9207 12796 1077329 8118 28843 1086622 4561 70104 22210 71833
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 8899 9252 12875 1082095 8322 29153 1087043 4467 70204 22579 72269
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  8643 9047 12617 1076345 7966 28892 1082899 4539 69641 23163 72054
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 8805 9473 12847 1080902 8179 28780 1086541 4387 70201 22657 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 8654 9200 13058 1080478 8325 28864 1085250 4419 70189 22997 72313
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 8744 9378 12773 1080355 8269 29012 1086941 4478 70183 23137 71892
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 8822 9254 12732 1078956 8031 29148 1086407 4292 69589 23112 71754
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 8731 9388 12692 1079128 8290 28743 1084354 4408 69713 23000 72471
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 8874 9227 12739 1081124 8051 29011 1086547 4215 70086 22675 72157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 8805 9216 12909 1079810 8264 28792 1085941 4256 69304 23306 71723
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 8839 9341 13018 1080641 8207 28922 1086968 4274 69610 22835 72339
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 8889 9223 12737 1081066 8448 29022 1087571 4468 70455 24038 71655
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 8904 9249 12643 1079214 8477 29168 1085727 4362 70028 22663 71922
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  8770 9231 12996 1075279 8123 28844 1082331 4344 68990 22941 72075
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 8802 9329 12727 1079740 8081 28878 1086501 4321 69967 23122 73220
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 9070 9240 12938 1081302 8123 28949 1085756 4325 69542 22857 72061
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 8707 9433 12946 1080518 8222 28808 1084674 4258 69829 22418 71769
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 8802 9139 12633 1073560 7993 28861 1081254 4403 69333 22910 71597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 8882 9041 12531 1080651 8020 28805 1085686 4523 69731 22847 71923
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 8609 9256 12670 1079974 8176 28927 1085464 4341 69861 22256 71980
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 8840 9321 12800 1079651 8278 28822 1086571 4004 70323 22621 71900
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 8767 9170 12729 1077469 8034 29148 1087719 4282 69848 22586 71783
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 8854 9177 12398 1078593 8245 28562 1083282 4173 69933 23229 72111
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 8796 9232 12886 1077634 8428 28952 1084248 4130 69457 22379 71767


Mean value:                            8827 9280 12801 1079114 8207 28945 1085764 4300 69890 22812 72050
Std. Abw.:                               99  100   151    1588  144   190    1495  146   411   374   430
Std. Abw. rel. [%]:                    1.12 1.08  1.18    0.15 1.76  0.66    0.14 3.41  0.59  1.64  0.60
Conf. interval:                          10   10    15     159   14    19     150   15    41    37    43
