Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti      V    Fe    Zn    Sr   Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 6122 6357 5672 1110603 6282 27634 1232920 4375    184 81359  3508 20466 6965 79592
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 6242 6383 5724 1110024 6334 27979 1232804 4199      0 82405  2703 20805 6450 79992
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 6214 6150 5731 1110632 6262 27354 1232939 4047      0 81187  2719 20578 6705 79674
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 6256 6090 5598 1109828 6466 27099 1232037 4495    287 81558  3397 20331 6394 79038
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 6055 6241 5538 1110518 6240 27218 1229433 4528    151 81641  2858 20243 6486 79544
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 6146 6088 5780 1108952 6097 27663 1230264 4212    450 81416  3182 20661 6580 79443
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 6170 6358 5375 1109574 6066 27809 1231867 4268      0 81763  2983 20930 6339 79619
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 6167 6394 5583 1110785 6315 27776 1231976 4321      0 81564  2975 21370 6471 79368
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 6076 6302 5646 1110535 6140 27560 1229370 4216    157 81162  3560 20600 5863 78899
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 6295 6051 5580 1108535 6078 27342 1229636 4330     66 81662  3866 20113 7336 79015
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  6223 6523 5901 1179315 6000 26289 1307419 4342      0 86583  3266 22092 6707 82398
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  6461 6339 5665 1174504 6184 26587 1303128 4628     70 87230  2947 21221 6884 82764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 6476 6557 5816 1172741 6155 26701 1304700 4777    153 86045  2934 21614 6986 82805
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 6361 6329 5610 1172781 6140 27265 1302591 4678     25 85838  3099 21462 6551 81574
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 6353 6407 5946 1171682 5776 27050 1303378 4791     71 86540  3237 21795 7021 81613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 6251 6564 5754 1173034 5922 26887 1300089 4754     60 87307  3391 22008 6542 81834
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 6227 6611 5680 1174653 6060 26803 1302641 4806    157 86231  3870 21792 7560 81611
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 6534 6409 5712 1175412 5825 26773 1305539 4886    116 86063  3122 21640 6230 82197
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 6313 6554 5744 1176538 6047 26350 1302971 4777    415 87501  3055 20968 7199 82508
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 6494 6711 5856 1175397 5941 26849 1304587 4634      0 86477  3483 21755 7207 82047
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 6241 6481 5718 1174689 6081 26813 1303358 4652      0 87321  3838 21962 6787 83249
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 6399 6434 5568 1175834 5922 26671 1307135 4666     34 85928  3428 21834 6133 82235
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  6441 6475 6091 1175919 6101 26998 1303485 4406      0 87183  4272 21792 6697 82408
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 6374 6570 5707 1174915 5527 26895 1304106 4393    268 87032  3643 21774 7046 82329
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 6452 6488 5895 1175922 6328 27076 1302809 4660    165 87813  3839 21966 7049 82438
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 6508 6605 5844 1178016 6023 26706 1305003 4424    212 86979  3961 21760 6721 81948
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 6525 6672 5962 1176994 6054 26877 1305706 4542      0 87086  3875 21657 7057 82241
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 6560 6769 6004 1175743 5895 26873 1303913 4583     23 86393  3740 21442 7439 82799
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 6289 6455 5759 1174930 5916 26310 1306194 4615     17 87166  4319 22238 7181 81982
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 6569 6652 6163 1174738 5687 26910 1304851 4643    298 85849  3765 21747 7134 81770
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 6364 6616 5774 1176841 6323 26795 1305185 4626      0 87181  3931 22395 7065 82483
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 6206 6745 5798 1175261 5781 26681 1305264 4417      0 86810  3594 21871 7291 82080
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 6379 6532 5889 1173830 5987 26933 1304977 4795    111 86319  3995 22902 7085 82366
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  6435 6529 6090 1173956 5858 26865 1304459 4561     24 86441  3203 22393 6988 81204
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 6273 6638 5795 1177133 5936 26829 1307343 4684    127 86889  2846 22293 7674 82463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 6544 6774 5838 1173141 5988 26625 1300880 4416     69 85687  3289 22408 7093 82249
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 6335 6733 5856 1177594 6085 26988 1306531 4586      0 86599  4276 21003 7503 81827
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 6205 6405 5973 1177386 5907 26960 1307213 4165     54 87181  3533 21230 6846 82463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 6555 6640 5867 1176601 5891 27233 1304873 4599    140 87679  3334 22567 6732 83564
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 6540 6717 5660 1174014 5986 27058 1305666 4666     70 86828  3946 21397 7027 81160
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 6670 6641 5686 1175580 6004 26827 1305749 4665      0 86670  3401 22054 6395 82420
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 6535 6804 5992 1175024 5821 26703 1307866 4674    108 87137  3738 22066 6852 81860
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 6364 6598 5676 1176800 6040 26934 1307901 4503    282 86926  3444 21722 6974 82487
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 6399 6674 5661 1174298 5865 26743 1304114 4594    287 87273  3163 21460 7502 82713
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  6412 6666 6043 1176036 6018 27150 1308149 4640    111 87670  3589 21899 7412 82032
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 6315 6716 5765 1175936 6084 26884 1306827 4658     86 87017  3482 21737 6481 83471
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 6482 6855 5847 1175408 6085 27086 1304233 5003    275 86620  3234 21968 6769 82623
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 6315 6666 5815 1174597 6177 26867 1305796 4593    109 86816  3626 21757 7302 81874
