Net counts

Spectrum                                    Si      Ca    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 1175489 1311345 82569
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 1174719 1307328 82081
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 1178727 1311265 81864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 1175657 1310456 81881
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 1175885 1310141 81997
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  1174755 1306379 81998
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 1178215 1308867 81984
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 1176352 1309950 83700
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 1176454 1310456 82493
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 1175766 1309061 82019
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 1176578 1307271 82441
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 1175074 1307963 82912
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 1177420 1309815 82872
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 1173477 1309973 81687
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 1173975 1310631 82080
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 1178283 1310668 82533
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  1173262 1305344 81993
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 1177569 1310599 82504
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 1176306 1307456 81964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 1177386 1311353 82330
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 1174666 1308744 81763
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 1175057 1307498 82759
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 1177871 1309396 82533
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 1176368 1308486 81568
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 1177573 1310262 82986
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 1176885 1310877 81949
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 1175823 1307449 82581
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  1172206 1305447 82583
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 1176988 1309546 83167
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 1177444 1308270 82337
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 1176704 1307297 82050
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 1170490 1303393 81877
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 1177565 1309089 82028
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 1176023 1307287 82564
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 1175965 1310684 82040
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 1173346 1311491 81240
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 1174818 1306433 82217
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 1173728 1306951 81732
------------------------------------------------------------
Mean value:                            1142632 1272297 80903
Std. Abw.:                               33047   36519  1475
Std. Abw. rel. [%]:                       2.89    2.87  1.82
Conf. interval:                           2337    2582   104
