Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_2_15_12 14.13 4.17 1.72 63.28 0.22 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_13 14.11 4.13 1.67 63.29 0.21 0.75 15.59 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_14 14.43 4.01 1.69 63.16 0.21 0.76 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_15 14.17 4.14 1.73 63.28 0.21 0.75 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_16 14.16 4.12 1.68 63.32 0.22 0.76 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_17 14.22 4.18 1.72 63.24 0.21 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_18 14.29 4.07 1.69 63.26 0.21 0.75 15.48 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_19 14.48 4.09 1.70 63.13 0.21 0.74 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_2  14.46 4.17 1.66 63.12 0.21 0.75 15.39 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_3  14.52 4.19 1.72 63.02 0.21 0.75 15.35 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_4  14.42 4.27 1.71 63.06 0.21 0.74 15.33 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_5  14.29 4.18 1.69 63.22 0.22 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_6  14.31 4.15 1.71 63.16 0.22 0.76 15.44 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_15_7  14.02 4.13 1.69 63.38 0.21 0.76 15.56 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_8  14.44 4.09 1.70 63.17 0.21 0.75 15.39 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_15_9  14.50 4.10 1.69 63.10 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_0  14.32 4.11 1.72 63.19 0.22 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_1  14.65 4.22 1.65 62.99 0.22 0.72 15.30 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_10 14.32 4.21 1.65 63.20 0.21 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_11 14.49 4.14 1.70 63.09 0.21 0.75 15.37 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_12 14.18 4.06 1.71 63.32 0.21 0.75 15.52 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_16_13 14.41 4.12 1.70 62.97 0.29 0.74 15.51 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_14 14.23 4.17 1.72 63.21 0.21 0.75 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_15 14.50 4.24 1.72 63.00 0.21 0.75 15.34 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_16 14.27 4.17 1.72 63.19 0.21 0.74 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_17 14.32 4.22 1.73 63.10 0.22 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_18 13.93 4.06 1.68 63.50 0.22 0.77 15.59 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_16_19 14.17 4.15 1.73 63.25 0.22 0.76 15.49 0.03 0.18 0.03 0.00
