Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_1_16_13 17.07 4.71 1.72 63.74 0.31 0.56 11.74 0.02 0.10 0.01 0.00
SRM_1831_300s_20x20det_1_16_14 18.03 4.99 1.74 63.63 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_15 18.19 4.94 1.76 63.52 0.19 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_16 18.21 5.04 1.75 63.45 0.19 0.52 10.71 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_17 17.86 4.92 1.80 63.75 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_18 18.31 4.91 1.76 63.46 0.19 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_19 17.86 5.01 1.78 63.69 0.20 0.53 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_2  18.22 5.02 1.79 63.43 0.19 0.52 10.71 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_3  18.19 4.92 1.75 63.52 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_4  18.03 4.91 1.76 63.66 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_5  17.88 4.95 1.74 63.78 0.19 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_6  17.46 4.95 1.74 64.06 0.20 0.53 10.93 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_7  18.12 4.82 1.71 63.67 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_8  18.23 4.95 1.74 63.49 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_9  17.80 4.91 1.78 63.81 0.20 0.52 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_0  18.11 4.90 1.74 63.62 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_1  18.21 4.99 1.77 63.46 0.20 0.52 10.74 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_10 17.92 4.92 1.76 63.75 0.20 0.53 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_11 17.99 4.99 1.73 63.67 0.20 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_12 17.88 4.89 1.77 63.79 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_13 17.89 4.97 1.77 63.73 0.19 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_14 17.96 4.85 1.73 63.77 0.20 0.53 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_17_15 18.28 5.01 1.73 63.42 0.19 0.52 10.72 0.02 0.09 0.01 0.00
