ROI backgr, sum

Spectrum                                     Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60    -1420    -1766    -2038    -2092    -2380    -3854    -4228    -5711    -22546    -58587    -26792
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61    -1406    -1735    -1982    -2009    -2313    -3837    -4174    -5957    -22619    -58632    -26419
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62    -1400    -1732    -1980    -2006    -2278    -3757    -4099    -5646    -22477    -58321    -25823
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63    -1409    -1747    -2006    -2043    -2356    -3882    -4229    -5919    -22709    -58208    -26253
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64    -1382    -1716    -1971    -2011    -2335    -3814    -4117    -5713    -22195    -58643    -26442
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65    -1402    -1744    -2005    -2042    -2389    -3892    -4248    -5880    -22117    -58822    -26482
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66    -1414    -1757    -2022    -2068    -2407    -3968    -4320    -5679    -22514    -58490    -26751
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67    -1378    -1710    -1965    -2004    -2300    -3873    -4284    -5952    -22648    -58076    -26009
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68    -1444    -1798    -2076    -2134    -2450    -3777    -4056    -5638    -22440    -58565    -26411
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69    -1418    -1768    -2042    -2093    -2415    -3874    -4224    -5627    -22690    -58300    -26377
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7     -1430    -1779    -2045    -2081    -2448    -3974    -4359    -6075    -22518    -58470    -26072
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70    -1393    -1719    -1957    -1972    -2297    -4021    -4468    -6081    -21807    -58680    -26194
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71    -1433    -1779    -2035    -2053    -2392    -3970    -4330    -5648    -22371    -58544    -26717
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72    -1436    -1795    -2082    -2147    -2519    -3951    -4275    -5882    -22351    -58536    -26437
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73    -1454    -1819    -2112    -2184    -2548    -3998    -4328    -5988    -22437    -57956    -26023
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74    -1401    -1741    -2003    -2045    -2409    -3943    -4334    -6034    -22589    -58410    -26778
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75    -1432    -1776    -2039    -2078    -2392    -3855    -4175    -5851    -22637    -58203    -26542
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76    -1466    -1838    -2145    -2232    -2528    -3902    -4251    -5814    -22416    -58597    -25943
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77    -1397    -1742    -2014    -2072    -2395    -3809    -4131    -5873    -22728    -58421    -26211
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78    -1420    -1775    -2064    -2143    -2530    -3898    -4190    -5703    -22436    -58627    -26483
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79    -1411    -1762    -2041    -2106    -2473    -3825    -4166    -5711    -21831    -58450    -26527
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8     -1408    -1730    -1952    -1941    -2212    -3882    -4217    -5743    -22906    -58513    -26675
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80    -1413    -1765    -2050    -2125    -2457    -3869    -4198    -5801    -22669    -58934    -26492
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81    -1412    -1734    -1953    -1936    -2189    -3842    -4178    -5737    -22186    -58513    -26573
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82    -1438    -1794    -2083    -2158    -2515    -3827    -4115    -5852    -22707    -58360    -26237
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83    -1426    -1770    -2032    -2071    -2384    -3835    -4146    -5638    -22389    -58769    -26660
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84    -1400    -1738    -1999    -2042    -2345    -3806    -4108    -5772    -22796    -57791    -26656
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85    -1435    -1793    -2074    -2129    -2510    -3947    -4273    -5944    -22352    -58469    -26554
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86    -1449    -1814    -2110    -2190    -2545    -3977    -4348    -5968    -22884    -58597    -26847
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87    -1393    -1722    -1963    -1978    -2278    -3880    -4252    -5947    -22682    -58670    -26430
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88    -1400    -1749    -2035    -2115    -2472    -3908    -4230    -5710    -22890    -58639    -26427
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89    -1438    -1799    -2090    -2163    -2469    -3959    -4358    -5954    -22706    -58360    -25919
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9     -1423    -1769    -2041    -2094    -2455    -3911    -4277    -5858    -22514    -58232    -26273
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90    -1430    -1782    -2063    -2125    -2450    -3864    -4187    -5848    -22852    -58259    -26360
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91    -1422    -1778    -2068    -2142    -2528    -3890    -4249    -5921    -22429    -58564    -26472
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92    -1438    -1789    -2058    -2096    -2456    -3860    -4139    -5925    -22318    -58414    -26416
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93    -1416    -1759    -2026    -2074    -2386    -3805    -4130    -5583    -22705    -58416    -26104
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94    -1430    -1783    -2067    -2137    -2469    -3798    -4094    -5606    -22233    -58816    -26689
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95    -1410    -1751    -2013    -2053    -2412    -3841    -4160    -5804    -22735    -58451    -26088
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96    -1429    -1782    -2059    -2116    -2497    -3963    -4329    -5967    -22668    -58247    -26232
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97    -1418    -1751    -1986    -1983    -2295    -3803    -4137    -5875    -22287    -58498    -26040
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98    -1410    -1752    -2018    -2066    -2403    -3843    -4174    -5804    -22462    -58615    -26323
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99    -1410    -1756    -2025    -2071    -2448    -3914    -4246    -5697    -22410    -58137    -26498


Mean value:                            -1420.13 -1765.70 -2033.23 -2079.08 -2415.29 -3888.89 -4228.33 -5815.50 -22504.00 -58489.61 -26424.67
Std. Abw.:                                18.98    27.77    42.45    61.63    86.64    59.47    76.55   121.46    253.36    216.28    233.78
Std. Abw. rel. [%]:                       -1.34    -1.57    -2.09    -2.96    -3.59    -1.53    -1.81    -2.09     -1.13     -0.37     -0.88
Conf. interval:                            1.90     2.78     4.25     6.16     8.66     5.95     7.66    12.15     25.34     21.63     23.38
