Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_11_1.spx  10018 11547 15705 1675155 10187     0  46369 1855815  6672   565  2392 119250  2420 15336  6604 35292 11066 130860     0
SRM_1831_300s_20x20det_1_11_10.spx 10222 11559 15823 1674973  9841     0  45468 1856396  6065   400  2542 120467  2252 15075  6649 35043 11678 131732     0
SRM_1831_300s_20x20det_1_11_11.spx 10419 11592 15979 1676742 10123    40  49913 1859599  6841   656  2717 119642  2047 14162  7629 35410 12049 131225     0
SRM_1831_300s_20x20det_1_11_12.spx 10285 11381 15917 1674341  9743     0  50641 1855409  6486   615  2332 120039  2278 14611  7243 35621 11357 130605     0
SRM_1831_300s_20x20det_1_11_13.spx 10224 11487 15947 1676589 10327    90  49944 1855203  6568   546  2367 120163  2419 14440  7111 35391 11093 130084     0
SRM_1831_300s_20x20det_1_11_14.spx 10249 11782 15669 1677377 10159   267  46831 1858193  6567   130  1821 120243  2311 14873  6575 35556 10989 130085     0
SRM_1831_300s_20x20det_1_11_15.spx 10250 11637 15837 1672381 10129   204  46168 1856936  6893   560  2121 119234  2147 14200  6842 35416 10853 130789     0
SRM_1831_300s_20x20det_1_11_16.spx 10098 11690 15681 1672791 10209     0  54832 1857951  6597   299  2145 119953  1926 14589  6927 35628 11210 130313     0
SRM_1831_300s_20x20det_1_11_17.spx  9523 10745 14872 1617426  9842     0  45466 1849165  6571   651  2614 120039  1880 14443  6617 35040 11957 130964     0
SRM_1831_300s_20x20det_1_11_18.spx 10119 11402 16114 1675218 10300   238  45152 1859253  6381   439  2709 120155  2508 14503  6875 36142 11060 130748     0
SRM_1831_300s_20x20det_1_11_19.spx 10036 11321 15833 1672804 10013    48  47259 1855526  6509   542  2406 119346  1885 14704  6967 35104 11985 130070     0
SRM_1831_300s_20x20det_1_11_2.spx  10435 11856 16182 1670030  9900     0  47064 1853520  6504   273  2435 118688  2134 14768  7242 36067 11369 129424     0
SRM_1831_300s_20x20det_1_11_3.spx  10073 11460 15994 1672965 10099     0  43209 1857916  6660   304  2678 119917  1981 14783  7137 35760 11412 130395     0
SRM_1831_300s_20x20det_1_11_4.spx  10279 11306 15831 1671045 10131     0  45652 1852265  6540   497  2654 119606  1376 15194  7830 35435 12765 130312     0
SRM_1831_300s_20x20det_1_11_5.spx  10151 11528 15893 1675892 10110     0  49064 1856734  6446   289  1873 120121  2031 14647  6981 35671 11154 130602     0
SRM_1831_300s_20x20det_1_11_6.spx  10551 11526 15612 1674724  9956     4  47895 1858067  6509   228  2132 119539  2294 14789  6166 35005 11271 130841     0
SRM_1831_300s_20x20det_1_11_7.spx  10277 11569 15894 1676218 10025     0  48517 1855765  6471   355  2488 119643  1793 14496  6379 35350 11165 130312     0
SRM_1831_300s_20x20det_1_11_8.spx  10148 11565 15993 1675179 10106   186  42479 1854656  6444   230  2548 120753  2400 15155  6569 35807 11217 130979     0
SRM_1831_300s_20x20det_1_11_9.spx  10077 11543 15639 1666398  9768     0  50123 1849119  6571   481  2389 120165  2596 14571  6689 34915 11816 130735     0
SRM_1831_300s_20x20det_1_12_0.spx  10224 11621 16232 1672805  9820    74  45802 1854654  6378   415  2218 119873  2288 15092  6738 35114 11252 131531     0
SRM_1831_300s_20x20det_1_12_1.spx  10218 11537 15987 1674617 10055     0  43064 1860329  6937   709  2460 120077  1571 14578  7237 35464 11423 131409     0
SRM_1831_300s_20x20det_1_12_10.spx 10243 11681 15616 1679185 10019     0  51520 1859721  6675   341  2589 120413  1758 15003  6702 35588 11787 130714     0
SRM_1831_300s_20x20det_1_12_11.spx 10200 11606 15797 1670742  9811   100  46598 1853989  6644   526  2413 119453  2373 14889  7075 35550 11583 129767     0
SRM_1831_300s_20x20det_1_12_12.spx 10375 11591 15830 1673910  9682     0  45432 1854388  6329    26  1996 120195  2368 14785  6584 35859 11403 130514     0
SRM_1831_300s_20x20det_1_12_13.spx 10171 11348 15793 1675818  9978     0  49383 1856770  6707   508  2629 119925  1772 13750  6560 35071 11539 130281     0
SRM_1831_300s_20x20det_1_12_14.spx 10487 11345 15921 1672836 10111   100  47345 1854295  6497   808  2645 119594  2382 14262  7070 35875 11236 130815     0
SRM_1831_300s_20x20det_1_12_15.spx  9847 11589 15643 1673310  9989     0  48357 1854680  6527   607  2684 120370  2746 15264  6981 35609 11340 130744     0
SRM_1831_300s_20x20det_1_12_16.spx 10437 11700 15790 1671791  9809     0  49528 1854105  6485   467  2414 119561  2474 14465  6360 35508 11811 129602     0
SRM_1831_300s_20x20det_1_12_17.spx 10179 11491 16164 1672405 10028   252  47662 1857712  6787   762  2813 120148  2340 14617  6620 35418 11722 130824     0
SRM_1831_300s_20x20det_1_12_18.spx 10236 11467 15650 1671221  9852     0  41054 1855324  6448   430  2549 121033  2373 15230  6518 35269 10395 131109     0
SRM_1831_300s_20x20det_1_12_19.spx 10236 11272 15527 1661565  9879   134  47175 1852092  6299   387  2494 119219  2272 14471  6815 35721 11721 130886     0
SRM_1831_300s_20x20det_1_12_2.spx  10169 11450 15487 1677218  9828     0  49316 1858978  6552   493  2553 120644  2127 14838  7399 36264 12058 130735     0
