Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_17_5  1659569 1830634 119714
SRM_1831_300s_20x20det_1_17_6  1658952 1824845 120395
SRM_1831_300s_20x20det_1_17_7  1657971 1823284 119711
SRM_1831_300s_20x20det_1_17_8  1657565 1822892 121101
SRM_1831_300s_20x20det_1_17_9  1660506 1830368 119734
SRM_1831_300s_20x20det_1_18_0  1657169 1827234 120771
SRM_1831_300s_20x20det_1_18_1  1652789 1822604 120431
SRM_1831_300s_20x20det_1_18_10 1655269 1820946 120327
SRM_1831_300s_20x20det_1_18_11 1656434 1825465 118872
SRM_1831_300s_20x20det_1_18_12 1658369 1819608 120269
SRM_1831_300s_20x20det_1_18_13 1656600 1822009 119430
SRM_1831_300s_20x20det_1_18_14 1655005 1824945 121266
SRM_1831_300s_20x20det_1_18_15 1653336 1819802 120312
SRM_1831_300s_20x20det_1_18_16 1651813 1820417 119637
SRM_1831_300s_20x20det_1_18_17 1655414 1822144 120082
SRM_1831_300s_20x20det_1_18_18 1654142 1823028 119640
SRM_1831_300s_20x20det_1_18_19 1653141 1822536 120496
SRM_1831_300s_20x20det_1_18_2  1657549 1827042 119520
SRM_1831_300s_20x20det_1_18_3  1654640 1820803 119178
SRM_1831_300s_20x20det_1_18_4  1659155 1824822 120041
SRM_1831_300s_20x20det_1_18_5  1652943 1825127 119320
SRM_1831_300s_20x20det_1_18_6  1656623 1821501 120462
SRM_1831_300s_20x20det_1_18_7  1648449 1823447 119375
SRM_1831_300s_20x20det_1_18_8  1657547 1821940 119540
SRM_1831_300s_20x20det_1_18_9  1655761 1823252 120203
SRM_1831_300s_20x20det_1_19_0  1657016 1822104 121029
SRM_1831_300s_20x20det_1_19_1  1653959 1820098 119749
SRM_1831_300s_20x20det_1_19_10 1654586 1820849 120256
SRM_1831_300s_20x20det_1_19_11 1659297 1825214 119606
SRM_1831_300s_20x20det_1_19_12 1658338 1822940 119482
SRM_1831_300s_20x20det_1_19_13 1660639 1826547 119929
SRM_1831_300s_20x20det_1_19_14 1655346 1824816 119821
SRM_1831_300s_20x20det_1_19_15 1652010 1815696 119923
SRM_1831_300s_20x20det_1_19_16 1657465 1822010 120900
SRM_1831_300s_20x20det_1_19_17 1654848 1820356 119058
SRM_1831_300s_20x20det_1_19_18 1659682 1827052 120943
SRM_1831_300s_20x20det_1_19_19 1659483 1829059 119590
SRM_1831_300s_20x20det_1_19_2  1655237 1822864 120500
SRM_1831_300s_20x20det_1_19_3  1651450 1819517 120105
SRM_1831_300s_20x20det_1_19_4  1653078 1822349 119554
SRM_1831_300s_20x20det_1_19_5  1659264 1825842 118922
SRM_1831_300s_20x20det_1_19_6  1653283 1822251 120057
SRM_1831_300s_20x20det_1_19_7  1654502 1822482 119720
SRM_1831_300s_20x20det_1_19_8  1653158 1821224 119374
SRM_1831_300s_20x20det_1_19_9  1657839 1825773 120025
SRM_1831_300s_20x20det_1_2_0   1655156 1829513 119839
SRM_1831_300s_20x20det_1_2_1   1655997 1827459 120860
SRM_1831_300s_20x20det_1_2_10  1654639 1827285 119885
SRM_1831_300s_20x20det_1_2_11  1649360 1823077 119892
SRM_1831_300s_20x20det_1_2_12  1654342 1824307 118487
SRM_1831_300s_20x20det_1_2_13  1655878 1827791 120567
SRM_1831_300s_20x20det_1_2_14  1653114 1819988 119779
SRM_1831_300s_20x20det_1_2_15  1651843 1821806 119296
SRM_1831_300s_20x20det_1_2_16  1642999 1814265 119907
SRM_1831_300s_20x20det_1_2_17  1652761 1819449 119337
SRM_1831_300s_20x20det_1_2_18  1653595 1825814 119287
SRM_1831_300s_20x20det_1_2_19  1655750 1829717 121034
SRM_1831_300s_20x20det_1_2_2   1651909 1823879 120057
SRM_1831_300s_20x20det_1_2_3   1657458 1829917 119036
SRM_1831_300s_20x20det_1_2_4   1651215 1823458 119375
SRM_1831_300s_20x20det_1_2_5   1652653 1822671 119415
SRM_1831_300s_20x20det_1_2_6   1656613 1824234 119570
SRM_1831_300s_20x20det_1_2_7   1651222 1822708 119669
SRM_1831_300s_20x20det_1_2_8   1654691 1822869 120132
SRM_1831_300s_20x20det_1_2_9   1655826 1825204 119873
SRM_1831_300s_20x20det_1_3_0   1652339 1826901 120436
SRM_1831_300s_20x20det_1_3_1   1654572 1827854 119766
SRM_1831_300s_20x20det_1_3_10  1654068 1825846 119211
SRM_1831_300s_20x20det_1_3_11  1655825 1828777 118602
SRM_1831_300s_20x20det_1_3_12  1658555 1823882 119378
SRM_1831_300s_20x20det_1_3_13  1652686 1821803 119594
SRM_1831_300s_20x20det_1_3_14  1653389 1823819 118406
SRM_1831_300s_20x20det_1_3_15  1657237 1822776 119854
SRM_1831_300s_20x20det_1_3_16  1654384 1825825 118138
SRM_1831_300s_20x20det_1_3_17  1654972 1820672 120529
SRM_1831_300s_20x20det_1_3_18  1653777 1826292 118563
SRM_1831_300s_20x20det_1_3_19  1654594 1826993 118902
SRM_1831_300s_20x20det_1_3_2   1653010 1826184 120067
