Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_11_9   9228  9451  8437 1647353  9037 40632 1811502  6485   173 119905  4796 30573 10452 119704
SRM_1831_300s_20x20det_1_12_0   9449  9448  8759 1653343  9037 40704 1816905  6334   231 119589  5075 30628  9952 120699
SRM_1831_300s_20x20det_1_12_1   9350  9519  8697 1655217  9252 40218 1822386  6885   353 119782  5079 31038 10416 120590
SRM_1831_300s_20x20det_1_12_10  9418  9593  8361 1659633  9391 40547 1822061  6661   141 120331  5137 30996 10547 119558
SRM_1831_300s_20x20det_1_12_11  9422  9436  8435 1651238  8967 39903 1815717  6488   242 119232  5147 30397 10456 119052
SRM_1831_300s_20x20det_1_12_12  9542  9344  8521 1654876  8992 39610 1816856  6255     0 119984  5338 31012 10357 119509
SRM_1831_300s_20x20det_1_12_13  9414  9375  8676 1656708  9361 40229 1818895  6495    44 119722  4272 30832 10449 119553
SRM_1831_300s_20x20det_1_12_14  9701  9231  8488 1653403  9284 40892 1816679  6294   315 119198  4525 31274 10091 120141
SRM_1831_300s_20x20det_1_12_15  9050  9409  8251 1653575  9185 39988 1816845  6527   375 120222  5282 30822 10072 119770
SRM_1831_300s_20x20det_1_12_16  9572  9437  8334 1652195  9074 40785 1816196  6351   219 119440  4752 31270 10591 119588
SRM_1831_300s_20x20det_1_12_17  9389  9373  8803 1652960  9279 40565 1819742  6585   455 119895  4845 30977 10634 119292
SRM_1831_300s_20x20det_1_12_18  9399  9149  8296 1651733  9089 40477 1817367  6369    32 120870  5370 30905  9364 120179
SRM_1831_300s_20x20det_1_12_19  9393  9194  8282 1642334  9221 39951 1813699  6245    17 118926  4125 30966 10540 119932
SRM_1831_300s_20x20det_1_12_2   9358  9341  8267 1658097  9202 40699 1821503  6498   312 120657  4861 31340 10799 119622
SRM_1831_300s_20x20det_1_12_3   9408  9199  8288 1654948  9210 40268 1821040  6765   286 120444  5198 30541 10359 120101
SRM_1831_300s_20x20det_1_12_4   9575  9240  8432 1652299  9464 40061 1814831  6408     0 119355  4377 30113  9907 120621
SRM_1831_300s_20x20det_1_12_5   9089  9499  8388 1654058  9142 40244 1817944  6428   180 120000  5012 31541 10198 119250
SRM_1831_300s_20x20det_1_12_6   8984  9253  8674 1655773  9477 40363 1817196  6414   118 120402  4963 31324  9764 120828
SRM_1831_300s_20x20det_1_12_7   9324  9202  8360 1658072  9158 39983 1818141  6027     0 120269  5707 31130  9946 119940
SRM_1831_300s_20x20det_1_12_8   9529  9423  8400 1654289  9356 40753 1814958  6374     0 120116  4874 32045  9692 119767
SRM_1831_300s_20x20det_1_12_9   9308  9462  8629 1654708  8934 41051 1820037  6429     0 119966  5173 31047  9973 118435
SRM_1831_300s_20x20det_1_13_0   9398  9329  8779 1654920  9315 41288 1819190  6541     0 119434  5584 30756 10914 120951
SRM_1831_300s_20x20det_1_13_1   9650  9288  8560 1654058  9425 40402 1819567  6423   135 120152  5223 30103  9600 120014
SRM_1831_300s_20x20det_1_13_10  9247  9382  8287 1659599  9274 41082 1820684  6359   331 120535  4851 31492 10422 119664
SRM_1831_300s_20x20det_1_13_11  9435  9395  8617 1659827  9363 40299 1821187  6704     0 120758  3982 31666 10525 119085
