ROI net sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_15_4  1527394 1521910 103482
SRM_1831_300s_20x20det_1_15_5  1530932 1522088 104013
SRM_1831_300s_20x20det_1_15_6  1531374 1524792 104032
SRM_1831_300s_20x20det_1_15_7  1531117 1521536 104556
SRM_1831_300s_20x20det_1_15_8  1528885 1519571 104769
SRM_1831_300s_20x20det_1_15_9  1528936 1518414 104079
SRM_1831_300s_20x20det_1_16_0  1532837 1523532 104947
SRM_1831_300s_20x20det_1_16_1  1530674 1522843 103654
SRM_1831_300s_20x20det_1_16_10 1530710 1521994 104514
SRM_1831_300s_20x20det_1_16_11 1533260 1524630 103499
SRM_1831_300s_20x20det_1_16_12 1530465 1523961 103729
SRM_1831_300s_20x20det_1_16_13 1410212 1505289 103714
SRM_1831_300s_20x20det_1_16_14 1531255 1520592 104376
SRM_1831_300s_20x20det_1_16_15 1530118 1522182 103809
SRM_1831_300s_20x20det_1_16_16 1532937 1521834 103992
SRM_1831_300s_20x20det_1_16_17 1530241 1522640 103905
SRM_1831_300s_20x20det_1_16_18 1534734 1524795 103840
SRM_1831_300s_20x20det_1_16_19 1530847 1522581 104699
SRM_1831_300s_20x20det_1_16_2  1533622 1522286 104300
SRM_1831_300s_20x20det_1_16_3  1525568 1518827 103721
SRM_1831_300s_20x20det_1_16_4  1532009 1523073 104262
SRM_1831_300s_20x20det_1_16_5  1532405 1519793 103626
SRM_1831_300s_20x20det_1_16_6  1529787 1521322 103224
SRM_1831_300s_20x20det_1_16_7  1528854 1521395 104909
SRM_1831_300s_20x20det_1_16_8  1529710 1521986 104663
SRM_1831_300s_20x20det_1_16_9  1529514 1519895 104646
SRM_1831_300s_20x20det_1_17_0  1534041 1527194 104832
SRM_1831_300s_20x20det_1_17_1  1531577 1524361 104570
SRM_1831_300s_20x20det_1_17_10 1533445 1522886 103679
SRM_1831_300s_20x20det_1_17_11 1534353 1523369 105021
SRM_1831_300s_20x20det_1_17_12 1533187 1523561 104667
SRM_1831_300s_20x20det_1_17_13 1531997 1521426 103902
SRM_1831_300s_20x20det_1_17_14 1533905 1524478 104221
SRM_1831_300s_20x20det_1_17_15 1528983 1520309 105158
SRM_1831_300s_20x20det_1_17_16 1533964 1521537 103648
SRM_1831_300s_20x20det_1_17_17 1531438 1519394 104251
SRM_1831_300s_20x20det_1_17_18 1530992 1521891 103961
SRM_1831_300s_20x20det_1_17_19 1532399 1520892 104025
SRM_1831_300s_20x20det_1_17_2  1533758 1523145 104168
SRM_1831_300s_20x20det_1_17_3  1534985 1524799 103874
SRM_1831_300s_20x20det_1_17_4  1527825 1517357 104407
SRM_1831_300s_20x20det_1_17_5  1533988 1526027 103656
SRM_1831_300s_20x20det_1_17_6  1534587 1522036 104651
SRM_1831_300s_20x20det_1_17_7  1531975 1520709 104374
SRM_1831_300s_20x20det_1_17_8  1531755 1520007 105441
SRM_1831_300s_20x20det_1_17_9  1534135 1526425 104169
SRM_1831_300s_20x20det_1_18_0  1531844 1523625 105440
SRM_1831_300s_20x20det_1_18_1  1529182 1520661 104753
SRM_1831_300s_20x20det_1_18_10 1530444 1518391 103986
SRM_1831_300s_20x20det_1_18_11 1531572 1523135 103874
SRM_1831_300s_20x20det_1_18_12 1532251 1517739 103954
SRM_1831_300s_20x20det_1_18_13 1531363 1520633 103686
SRM_1831_300s_20x20det_1_18_14 1529202 1520310 104971
SRM_1831_300s_20x20det_1_18_15 1528004 1518395 104767
SRM_1831_300s_20x20det_1_18_16 1527054 1519155 103846
SRM_1831_300s_20x20det_1_18_17 1530142 1519442 104362
SRM_1831_300s_20x20det_1_18_18 1529356 1520733 104149
