ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_17_19 13002 13366 18023 1532399 40522 1520892 6224 97570 32144 14288 104025
SRM_1831_300s_20x20det_1_17_2  12822 13416 17668 1533758 40823 1523145 5761 97120 31907 14900 104168
SRM_1831_300s_20x20det_1_17_3  12722 13411 17875 1534985 40636 1524799 6028 96578 32123 14308 103874
SRM_1831_300s_20x20det_1_17_4  12832 13204 17923 1527825 40684 1517357 6176 96740 31606 14671 104407
SRM_1831_300s_20x20det_1_17_5  12872 13286 17992 1533988 40714 1526027 5607 97932 31834 14705 103656
SRM_1831_300s_20x20det_1_17_6  12917 13326 18067 1534587 40851 1522036 5971 97133 31889 14244 104651
SRM_1831_300s_20x20det_1_17_7  12823 13461 17622 1531975 40889 1520709 6024 96622 31389 14627 104374
SRM_1831_300s_20x20det_1_17_8  12995 13410 17760 1531755 40652 1520007 5863 96538 32504 14959 105441
SRM_1831_300s_20x20det_1_17_9  12671 13530 17789 1534135 41033 1526425 6164 97200 31910 14328 104169
SRM_1831_300s_20x20det_1_18_0  12813 13228 18281 1531844 40591 1523625 5919 96858 31706 14737 105440
SRM_1831_300s_20x20det_1_18_1  12760 13372 18215 1529182 40655 1520661 5611 97221 31985 14768 104753
SRM_1831_300s_20x20det_1_18_10 12669 13304 17824 1530444 40841 1518391 5719 96655 31562 14127 103986
SRM_1831_300s_20x20det_1_18_11 12897 13268 18194 1531572 41017 1523135 5569 96638 31973 13946 103874
SRM_1831_300s_20x20det_1_18_12 12762 13359 18010 1532251 40656 1517739 6154 96401 32594 13545 103954
SRM_1831_300s_20x20det_1_18_13 12988 13486 17984 1531363 40970 1520633 6346 96787 32427 15533 103686
SRM_1831_300s_20x20det_1_18_14 12731 13215 17921 1529202 40350 1520310 6031 96821 31748 14171 104971
SRM_1831_300s_20x20det_1_18_15 12597 13298 17750 1528004 40671 1518395 5769 96761 32157 14983 104767
SRM_1831_300s_20x20det_1_18_16 12821 13382 17898 1527054 40377 1519155 5930 96721 31745 14339 103846
SRM_1831_300s_20x20det_1_18_17 12787 13522 17615 1530142 40631 1519442 5937 96703 30908 14611 104362
SRM_1831_300s_20x20det_1_18_18 12537 13351 17999 1529356 40869 1520733 5972 97326 31561 13673 104149
SRM_1831_300s_20x20det_1_18_19 12751 13539 18185 1528989 40917 1519192 5998 97118 31999 14345 104614
SRM_1831_300s_20x20det_1_18_2  12691 13341 18091 1532042 40846 1524494 6146 96370 32323 14782 104149
SRM_1831_300s_20x20det_1_18_3  12653 13240 17479 1529581 40390 1518473 6132 96908 32847 15597 103751
SRM_1831_300s_20x20det_1_18_4  12917 13611 18059 1533533 40714 1522021 5621 97176 32095 14276 104986
SRM_1831_300s_20x20det_1_18_5  12737 13346 17798 1527094 40385 1522909 5919 96423 32555 14335 103310
SRM_1831_300s_20x20det_1_18_6  12753 13209 17946 1530488 40685 1518988 5726 96389 31418 14088 104121
SRM_1831_300s_20x20det_1_18_7  12583 13177 17839 1522918 40501 1520104 5538 97217 32094 15073 103497
SRM_1831_300s_20x20det_1_18_8  12716 13296 18037 1531905 41008 1519492 6028 96450 32258 14534 103978
SRM_1831_300s_20x20det_1_18_9  12844 13281 17954 1530578 40737 1520533 5923 97096 32315 14531 104166
SRM_1831_300s_20x20det_1_19_0  13092 13419 18106 1530614 40746 1519535 5925 96538 32030 14627 105325
SRM_1831_300s_20x20det_1_19_1  12804 13382 18304 1528877 40434 1518865 5906 96412 31281 14893 104147
SRM_1831_300s_20x20det_1_19_10 12907 13278 17798 1528370 40731 1519368 5628 96629 31721 14406 104695
SRM_1831_300s_20x20det_1_19_11 12682 13158 17812 1532875 40726 1521156 5814 96592 31548 13730 103986
SRM_1831_300s_20x20det_1_19_12 13001 13267 17718 1532103 40516 1520368 5571 96555 31867 14959 104254
SRM_1831_300s_20x20det_1_19_13 12745 13297 17944 1534782 41131 1522841 6284 96845 32478 15090 104120
SRM_1831_300s_20x20det_1_19_14 12848 13285 18180 1530551 40876 1522593 5891 98424 32723 14121 104309
SRM_1831_300s_20x20det_1_19_15 12898 13266 17860 1526499 40643 1515907 5886 96883 32018 14227 104207
SRM_1831_300s_20x20det_1_19_16 12991 13273 18182 1532060 40570 1519742 5898 96668 31987 14592 104938
SRM_1831_300s_20x20det_1_19_17 12691 13490 18071 1530251 40941 1519069 5779 96223 31838 14843 103769
SRM_1831_300s_20x20det_1_19_18 12817 13321 18027 1535008 41099 1523271 5977 96971 33105 15194 104521
SRM_1831_300s_20x20det_1_19_19 12892 13399 18085 1533293 40422 1524740 5868 97078 31767 14563 104375
SRM_1831_300s_20x20det_1_19_2  12481 13227 17902 1528964 40390 1519906 5616 96525 32855 14410 104642
SRM_1831_300s_20x20det_1_19_3  12691 13573 17867 1527502 40904 1518784 5885 97016 32637 14818 104297
SRM_1831_300s_20x20det_1_19_4  12921 13479 18026 1528994 40444 1520783 5735 96857 31594 14434 103517
SRM_1831_300s_20x20det_1_19_5  12873 13460 17886 1533435 41261 1522491 6157 96895 32175 15358 103305
SRM_1831_300s_20x20det_1_19_6  12868 13485 18012 1528802 40598 1520113 5771 97210 31235 14035 103940
SRM_1831_300s_20x20det_1_19_7  12838 13438 18054 1528586 40721 1520236 6036 97649 32297 13970 104509
SRM_1831_300s_20x20det_1_19_8  12626 13510 17764 1528321 41094 1519390 5828 96991 32134 13933 104032
SRM_1831_300s_20x20det_1_19_9  12658 13561 18051 1532501 40325 1521676 5752 95874 32052 14217 104381
SRM_1831_300s_20x20det_1_1_0   12896 13635 17949 1528110 41035 1526020 5738 97427 31622 14240 105728
SRM_1831_300s_20x20det_1_1_1   12565 13507 18062 1531649 40852 1524808 6122 96740 32583 14906 105089
SRM_1831_300s_20x20det_1_1_10  12800 13374 17812 1529643 41073 1522691 5689 96584 32110 14072 103976
SRM_1831_300s_20x20det_1_1_11  12886 13240 18094 1530041 40740 1522932 5870 96625 32096 14360 104300
SRM_1831_300s_20x20det_1_1_12  12506 13431 17677 1527909 40883 1521755 5616 96948 31709 14166 104227
SRM_1831_300s_20x20det_1_1_13  12884 13391 17785 1529512 40626 1522872 6095 97148 32337 15362 103200
SRM_1831_300s_20x20det_1_1_14  12915 13316 17625 1529127 40083 1521629 5950 96712 32602 14202 104220
SRM_1831_300s_20x20det_1_1_15  12593 13192 17672 1529614 40815 1522504 6197 96635 32203 14044 104724
SRM_1831_300s_20x20det_1_1_16  12594 13179 18470 1530577 41126 1522581 6355 96806 32563 14704 103676
SRM_1831_300s_20x20det_1_1_17  12748 13268 18007 1527966 40822 1517338 5881 96797 32699 14435 104884
SRM_1831_300s_20x20det_1_1_18  12845 13178 17828 1528977 40950 1521516 5645 96381 32318 14335 103661
SRM_1831_300s_20x20det_1_1_19  12806 13465 18038 1526656 40985 1519729 6036 97416 31370 14147 104375
SRM_1831_300s_20x20det_1_1_2   12983 13566 18216 1533112 40616 1522203 6138 97181 32523 14872 104620
SRM_1831_300s_20x20det_1_1_3   12645 13524 17888 1529344 40463 1520985 5598 97420 32686 15132 104377
SRM_1831_300s_20x20det_1_1_4   12613 13509 17881 1530510 40755 1524098 5990 97467 31377 13157 104482
SRM_1831_300s_20x20det_1_1_5   12801 13488 17746 1529337 40767 1520676 5760 97080 32192 13840 104317
SRM_1831_300s_20x20det_1_1_6   12729 13270 18131 1531011 40573 1520155 5780 96851 32183 14297 103577
SRM_1831_300s_20x20det_1_1_7   12692 13233 17793 1527396 40849 1520233 5884 97017 33030 14419 103914
SRM_1831_300s_20x20det_1_1_8   12730 13369 18026 1529293 41193 1522474 5969 96209 32198 14052 103719
SRM_1831_300s_20x20det_1_1_9   12922 13231 17765 1528372 40787 1521892 5924 97283 32283 14561 104378
SRM_1831_300s_20x20det_1_2_0   12812 13270 18056 1530180 41028 1524408 5889 97071 32369 14409 105289
SRM_1831_300s_20x20det_1_2_1   12988 13223 18030 1530173 40606 1522527 6032 96352 32869 14553 104549
SRM_1831_300s_20x20det_1_2_10  12722 13243 17801 1528820 40542 1523297 5952 96610 31355 14843 104028
SRM_1831_300s_20x20det_1_2_11  12856 13572 17920 1523950 40877 1520437 5934 96450 32305 14538 104190
SRM_1831_300s_20x20det_1_2_12  12682 13252 17820 1529178 40758 1521313 5916 96894 32399 14541 103301
SRM_1831_300s_20x20det_1_2_13  12773 13388 17933 1530956 40910 1523508 5770 97766 31862 14620 105412
