ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti    Fe    Sr     Rh
SRM_1831_300s_20x20det_1_17_18 12557 13405 17929 1530992 11796 40792 1521891 6078 96628 32217 103961
SRM_1831_300s_20x20det_1_17_19 13002 13366 18023 1532399 12183 40522 1520892 6224 97570 32144 104025
SRM_1831_300s_20x20det_1_17_2  12822 13416 17668 1533758 12004 40823 1523145 5761 97120 31907 104168
SRM_1831_300s_20x20det_1_17_3  12722 13411 17875 1534985 12181 40636 1524799 6028 96578 32123 103874
SRM_1831_300s_20x20det_1_17_4  12832 13204 17923 1527825 11720 40684 1517357 6176 96740 31606 104407
SRM_1831_300s_20x20det_1_17_5  12872 13286 17992 1533988 12134 40714 1526027 5607 97932 31834 103656
SRM_1831_300s_20x20det_1_17_6  12917 13326 18067 1534587 12051 40851 1522036 5971 97133 31889 104651
SRM_1831_300s_20x20det_1_17_7  12823 13461 17622 1531975 11913 40889 1520709 6024 96622 31389 104374
SRM_1831_300s_20x20det_1_17_8  12995 13410 17760 1531755 11928 40652 1520007 5863 96538 32504 105441
SRM_1831_300s_20x20det_1_17_9  12671 13530 17789 1534135 12224 41033 1526425 6164 97200 31910 104169
SRM_1831_300s_20x20det_1_18_0  12813 13228 18281 1531844 11893 40591 1523625 5919 96858 31706 105440
SRM_1831_300s_20x20det_1_18_1  12760 13372 18215 1529182 12148 40655 1520661 5611 97221 31985 104753
SRM_1831_300s_20x20det_1_18_10 12669 13304 17824 1530444 11982 40841 1518391 5719 96655 31562 103986
SRM_1831_300s_20x20det_1_18_11 12897 13268 18194 1531572 12004 41017 1523135 5569 96638 31973 103874
SRM_1831_300s_20x20det_1_18_12 12762 13359 18010 1532251 12038 40656 1517739 6154 96401 32594 103954
SRM_1831_300s_20x20det_1_18_13 12988 13486 17984 1531363 12112 40970 1520633 6346 96787 32427 103686
SRM_1831_300s_20x20det_1_18_14 12731 13215 17921 1529202 12119 40350 1520310 6031 96821 31748 104971
SRM_1831_300s_20x20det_1_18_15 12597 13298 17750 1528004 12213 40671 1518395 5769 96761 32157 104767
SRM_1831_300s_20x20det_1_18_16 12821 13382 17898 1527054 12072 40377 1519155 5930 96721 31745 103846
SRM_1831_300s_20x20det_1_18_17 12787 13522 17615 1530142 12019 40631 1519442 5937 96703 30908 104362
SRM_1831_300s_20x20det_1_18_18 12537 13351 17999 1529356 12078 40869 1520733 5972 97326 31561 104149
SRM_1831_300s_20x20det_1_18_19 12751 13539 18185 1528989 12166 40917 1519192 5998 97118 31999 104614
SRM_1831_300s_20x20det_1_18_2  12691 13341 18091 1532042 12282 40846 1524494 6146 96370 32323 104149
SRM_1831_300s_20x20det_1_18_3  12653 13240 17479 1529581 11598 40390 1518473 6132 96908 32847 103751
SRM_1831_300s_20x20det_1_18_4  12917 13611 18059 1533533 12268 40714 1522021 5621 97176 32095 104986
SRM_1831_300s_20x20det_1_18_5  12737 13346 17798 1527094 11960 40385 1522909 5919 96423 32555 103310
SRM_1831_300s_20x20det_1_18_6  12753 13209 17946 1530488 11739 40685 1518988 5726 96389 31418 104121
SRM_1831_300s_20x20det_1_18_7  12583 13177 17839 1522918 11929 40501 1520104 5538 97217 32094 103497
SRM_1831_300s_20x20det_1_18_8  12716 13296 18037 1531905 12084 41008 1519492 6028 96450 32258 103978
SRM_1831_300s_20x20det_1_18_9  12844 13281 17954 1530578 12350 40737 1520533 5923 97096 32315 104166
SRM_1831_300s_20x20det_1_19_0  13092 13419 18106 1530614 11847 40746 1519535 5925 96538 32030 105325
SRM_1831_300s_20x20det_1_19_1  12804 13382 18304 1528877 12292 40434 1518865 5906 96412 31281 104147
SRM_1831_300s_20x20det_1_19_10 12907 13278 17798 1528370 12020 40731 1519368 5628 96629 31721 104695
SRM_1831_300s_20x20det_1_19_11 12682 13158 17812 1532875 12023 40726 1521156 5814 96592 31548 103986
SRM_1831_300s_20x20det_1_19_12 13001 13267 17718 1532103 12315 40516 1520368 5571 96555 31867 104254
SRM_1831_300s_20x20det_1_19_13 12745 13297 17944 1534782 11973 41131 1522841 6284 96845 32478 104120
SRM_1831_300s_20x20det_1_19_14 12848 13285 18180 1530551 11933 40876 1522593 5891 98424 32723 104309
SRM_1831_300s_20x20det_1_19_15 12898 13266 17860 1526499 11797 40643 1515907 5886 96883 32018 104207
SRM_1831_300s_20x20det_1_19_16 12991 13273 18182 1532060 12285 40570 1519742 5898 96668 31987 104938
SRM_1831_300s_20x20det_1_19_17 12691 13490 18071 1530251 12192 40941 1519069 5779 96223 31838 103769
