ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_12_17 12754 13204 18310 1527245 40736 1522030 6028  3340 96830 16036 10250 31919 14914 103564
SRM_1831_300s_20x20det_1_12_18 12650 13082 17643 1526047 40661 1520763 6039  3314 97079 15832 10314 31834 13650 104593
SRM_1831_300s_20x20det_1_12_19 12818 12994 17569 1517167 40690 1519421 5727  3320 95973 15138 10838 32369 14308 104051
SRM_1831_300s_20x20det_1_12_2  12695 13146 17638 1532386 40888 1523197 6021  3696 97555 16101 10935 32550 14817 104336
SRM_1831_300s_20x20det_1_12_3  12769 13174 17763 1529577 40714 1523909 6100  3048 96894 15989 10513 31818 14658 104088
SRM_1831_300s_20x20det_1_12_4  13049 13306 18063 1527173 40591 1519855 6002  3616 96438 15413 10902 32008 14060 104943
SRM_1831_300s_20x20det_1_12_5  12557 13503 17880 1528429 40796 1520336 5805  3146 96702 15248 11195 32878 14908 103721
SRM_1831_300s_20x20det_1_12_6  12453 13225 18150 1529819 40644 1520869 5971  3507 97531 15810 10524 32293 14732 104149
SRM_1831_300s_20x20det_1_12_7  12734 13180 17851 1531838 40430 1521126 5570  3282 96709 16680 10610 31741 14928 103728
SRM_1831_300s_20x20det_1_12_8  12791 13264 17831 1529391 41171 1518341 5916  3144 97465 15778 10826 32709 14608 104315
SRM_1831_300s_20x20det_1_12_9  12594 13367 18136 1528790 41284 1522949 5731  3293 96831 15564 10059 31587 14579 103061
SRM_1831_300s_20x20det_1_13_0  12846 13356 18284 1529487 41238 1520574 5904  3027 96132 16287 10149 32136 15017 105054
SRM_1831_300s_20x20det_1_13_1  13057 13236 17965 1528949 40735 1521929 6049  4234 97386 16236 10108 31306 13816 104499
SRM_1831_300s_20x20det_1_13_10 12590 13384 17998 1534231 41232 1523334 5835  3665 97468 15244 10145 32693 14710 103622
SRM_1831_300s_20x20det_1_13_11 12913 13302 17938 1534361 40759 1524328 5917  3510 97336 15151 10864 32591 15054 103994
SRM_1831_300s_20x20det_1_13_12 12788 13360 17689 1520929 40431 1518586 5599  3381 96517 15681 10630 31444 14554 103285
SRM_1831_300s_20x20det_1_13_13 12772 13104 18179 1533081 40425 1522487 5830  3378 96326 15548 10572 31274 14065 104200
SRM_1831_300s_20x20det_1_13_14 12990 13436 18221 1530473 40666 1522668 5667  3695 97068 15901 10593 31858 14171 104099
SRM_1831_300s_20x20det_1_13_15 12819 13402 17925 1531202 40848 1519839 6002  3049 96589 15972 10619 32424 14709 103785
SRM_1831_300s_20x20det_1_13_16 12608 13356 17872 1530818 40916 1525960 6135  3219 97616 16279 10853 32562 14187 104204
SRM_1831_300s_20x20det_1_13_17 12742 13384 17785 1529659 40852 1518712 6007  3347 96437 15570 10640 32699 14373 103738
SRM_1831_300s_20x20det_1_13_18 12986 13350 18172 1534248 40931 1523722 5602  3373 97359 15781 10854 31854 14331 104168
SRM_1831_300s_20x20det_1_13_19 12872 13196 17715 1531905 40786 1523187 5760  3685 97979 15354 10124 31808 14317 104743
