ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn   Rb    Sr    Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 8972 9368 12599 1078646 28956 1088212 4275  2434 70043 11361 7880 22519  9790 72535
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 8701 9280 12961 1078189 28999 1084783 4575  3219 69796 11515 7707 22783 10676 71661
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 8934 9223 12669 1082241 29003 1087513 4456  1995 70330 11459 7545 22672  9684 71375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 8771 9213 12923 1079056 29494 1086513 4259  1929 69509 11802 7640 22859  9866 72212
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 8675 9161 12454 1079201 28826 1087262 4496  2737 70043 11468 8034 22902 10462 71977
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  8796 9347 12755 1078585 29093 1084003 4264  1949 69669 11761 8148 22511 10707 72229
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 8978 9280 12546 1080772 29021 1086612 4185  2689 70149 11412 7892 23317 10300 71737
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 8937 9303 12782 1080059 28823 1087041 4577  2810 70286 11304 7972 23027 10553 73350
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 8927 9404 12967 1079384 29258 1087346 4714  3132 70333 12054 8067 22817  9926 72310
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 9090 9244 12805 1079083 28897 1086388 4193  2216 69796 11652 7737 22871 10400 72207
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 8839 9519 12886 1080138 28867 1084819 4448  2640 70069 11250 8077 22973 10377 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 8821 9160 12747 1078729 28838 1085954 4292  2636 69629 11315 7783 22506 10114 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 8898 9329 12879 1080545 28513 1086777 4173  2505 69725 11602 7988 22270 10416 72412
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 8831 9248 12883 1077610 29257 1085326 4072  2966 69418 11176 9325 23365 11406 71887
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 8751 9207 12796 1077329 28843 1086622 4561  2782 70104 11135 7771 22210 10676 71833
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 8899 9252 12875 1082095 29153 1087043 4467  2799 70204 11544 7486 22579 10079 72269
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  8643 9047 12617 1076345 28892 1082899 4539  2368 69641 11157 7870 23163 11365 72054
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 8805 9473 12847 1080902 28780 1086541 4387  3247 70201 11732 7938 22657 10847 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 8654 9200 13058 1080478 28864 1085250 4419  2547 70189 11941 7914 22997 10266 72313
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 8744 9378 12773 1080355 29012 1086941 4478  2601 70183 11472 7888 23137 10015 71892
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 8822 9254 12732 1078956 29148 1086407 4292  2301 69589 11442 8223 23112 10176 71754
