ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca    Ti    Mn     Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_2_12_3  13508 14235 19835 1656260 43993 1647816  6369  3194 105050 16741 11864 34243 16086 110591
SRM_1831_300s_20x20det_2_12_4  13503 14402 19902 1658020 43552 1648828  6061  3988 105624 17000 11277 34311 16119 111186
SRM_1831_300s_20x20det_2_12_5   9311  9773 13766 1152451 30577 1147836  4583  2873  73988 12482  8017 24222 11300  76742
SRM_1831_300s_20x20det_2_12_6  13710 14387 19967 1653407 43844 1646975  6059  3646 105245 16744 11018 34378 15692 110772
SRM_1831_300s_20x20det_2_12_7  13407 14237 19823 1655287 43592 1645355  6297  3744 105238 16797 11615 34784 16062 110424
SRM_1831_300s_20x20det_2_12_8  13514 14015 19696 1657717 43844 1648576  6733  4386 105949 16575 11691 34735 15329 112028
SRM_1831_300s_20x20det_2_12_9  13371 14451 19753 1657807 44341 1648022  6624  4103 105310 16926 11903 34597 16613 110193
SRM_1831_300s_20x20det_2_13_0   6609  6757  9489  804079 21449  799352  3242  2093  51460  8066  5536 16749  7943  54331
SRM_1831_300s_20x20det_2_13_1  13568 14232 19815 1655065 44218 1646464  6878  3849 105134 16989 11217 34625 15797 110541
SRM_1831_300s_20x20det_2_13_10 13730 14364 20000 1660858 43611 1650716  6539  3557 105547 16749 11293 34531 15684 110664
SRM_1831_300s_20x20det_2_13_11 13684 14240 19692 1660514 44286 1650832  6287  3647 106058 17237 11864 34398 16201 111362
SRM_1831_300s_20x20det_2_13_12 13449 14154 19707 1651501 44051 1648266  6264  3675 104496 16534 11303 34030 15861 111486
SRM_1831_300s_20x20det_2_13_13 13505 14152 19747 1659912 44036 1650236  6234  3332 104728 16540 11508 34606 15050 110425
SRM_1831_300s_20x20det_2_13_14 13856 14379 19584 1658873 44399 1649135  6656  3592 105826 16377 11827 35020 16196 110992
SRM_1831_300s_20x20det_2_13_15 13451 14138 20011 1658985 43774 1650788  6124  3718 105712 16303 11542 34445 15678 110585
SRM_1831_300s_20x20det_2_13_16 13711 14286 19819 1658692 43858 1649954  6354  3648 105449 17977 11886 34049 16372 110692
SRM_1831_300s_20x20det_2_13_17 13658 14112 19815 1658633 44308 1647657  6637  3464 104591 16979 12212 34950 15906 110537
SRM_1831_300s_20x20det_2_13_18 13620 14555 19810 1660439 44399 1649029  6206  3438 104802 17073 11710 34532 15464 111034
SRM_1831_300s_20x20det_2_13_19 13728 14235 19987 1659928 43767 1650588  6407  3695 104945 16785 11815 34797 15220 111478
SRM_1831_300s_20x20det_2_13_2  13612 14326 19878 1655619 44278 1645892  6415  4273 105278 16203 12153 34676 15769 110537
SRM_1831_300s_20x20det_2_13_3  13452 14190 19595 1655272 43677 1647002  6568  3691 105033 16992 12256 35100 16313 110464
SRM_1831_300s_20x20det_2_13_4  13424 14519 19748 1653469 43679 1644840  6373  3328 104735 16686 12135 34118 16364 110862
SRM_1831_300s_20x20det_2_13_5  13641 14167 19855 1658574 43796 1649176  6249  3547 104716 17009 11319 35009 16315 111337
